lat,lng
-22.8600881,-43.4863223
-22.8341317,-43.2921627
-22.9816912,-43.1962577
-22.8920364,-43.2679
-22.8968333,-43.4877927
-22.8920364,-43.2679
-22.9669151,-43179
-22.9325728,-43.2410248
-22.9079866,-43.2660959
-22.8941141,-43.3226422
-22.8649615,-43.261191
-22.8942464,-43.3211096
-22.9347612,-43.3933607
-22.8385252,-43.3445066
-22.8780979,-43.4483194
-22.9196515,-43.6843877
-22.9252336,-43.2053404
-22.9325728,-43.2410248
-22.9478344,-43.1940703
-22.801801,-43.3185535
-22.85677,-43.489902
-22.895332,-43.2957776
-22.912764,-43.297222
-23.0136663,-43.4634068
-22.8749746,-43.351177
-22.8427263,-43.3730742
-22.849012600000002,-43.3640456
-22.870536,-43.479764
-22.8588961,-43.4870104
-22.8603985,-43.2821082
-22.9078627,-43.265928099999996
-22.9213803,-43.2641528
-22.863027,-43.2650444
-22.915274,-43.27875
-22.9100133,-43.3779154
-22.9075126,-43.2668791
-22.8427263,-43.3730742
-22.9077975,-43.4211704
-22.8654866,-43.2619815
-22.9144036,-43.3779073
-22.948371,-43.193533
-22.8639186,-43.2476439
-22.899885,-43.361094
-22.871665,-43.2561132
-22.8973746,-43.2606318
-22.88264,-43.248896
-22.8648423,-43.4771013
-22.9006822,-43.3593762
-22.883525,-43.25423
-22.866788,-43.4650595
-22.8603985,-43.2821082
-22.9133843,-43.4156717
-22.8268424,-43.3921702
-22.902372,-43.360602
-22.8604175,-43.2819875
-22.8820321,-43.2496748
-22.8386085,-43.362417
-22.8992158,-43.3687431
-22.9008595,-43.3546326
-22.8813939,-43.2681728
-22.9049296,-43.3579806
-22.847331,-43.2754
-22.8875573,-43.2581953
-22.901324,-43.36222
-22.893824,-43.3217889
-22.8240527,-43.3746055
-22.8669903,-43.4804783
-22.8968333,-43.4877927
-22.9048084,-43.3550791
-22.8994965,-43.355256
-22.8993569,-43.355779
-22.8921374,-43.4196031
-22.9034755,-43.3559967
-22.9126441,-43.2835947
-22.9015549,-43.361263
-22.9052507,-43.2340127
-22.9015549,-43.361263
-22.8323261,-43.3188522
-22.875874,-43.473862
-22.890053,-43.2175842
-22.825899,-43.387078
-22.977615,-43.5897351
-22.8659594,-43.3099565
-22.9939022,-43.2358343
-22.8235797,-43.3582608
-22.9602869,-43.1673802
-23.0016562,-43.3882029
-22.865177,-43.476698999999996
-22.862115,-43.490855
-22.9220424,-43.2146508
-22.8742263,-43.4685442
-22.9604902,-43.1697401
-22.806208,-43.332446
-22.8564826,-43.3849845
-22.9481688,-43.3626721
-22.9045421,-43.2987082
-22.847242,-43.275433
-22.8622295,-43.4864963
-22.8587984,-43.2476958
-22.9002778,-43.1952778
-22.841861,-43.2874905
-22.8606286,-43.2630267
-22.8761598,-43.3078797
-22.8604006,-43.4884116
-22.843659,-43.286746
-22.9255441,-43.1921025
-22.943539,-43.241424
-22.8740996,-43.4787222
-22.8696902,-43.3167235
-22.9196001,-43.2855347
-22.8112389,-43.3193931
-22.8683062,-43.3044361
-22.8763889,-43.3033333
-22.8733699,-43.4570508
-22.8550195,-43.4971339
-22.8401095,-43.3780741
-22.8478868,-43.3724155
-22.8074249,-43.318053
-22.844034,-43.3749929
-22.9640068,-43.1898666
-22.9195367,-43.2015238
-22.9124139,-43.355695
-22.9195367,-43.2015238
-22.8894108,-43.2295405
-22.819309,-43.3882679
-22.8763107,-43.4302937
-22.869157,-43.3183175
-22.891049,-43.425203
-22.8348294,-43.2763993
-22.8915772,-43.4186007
-22.8696902,-43.3167235
-22.9253062,-43.219771
-22.9651767,-43.1942837
-22.9130119,-43.253486
-22.8469239,-43.2969005
-22.8622904,-43.4865673
-22.8615397,-43.2741434
-22.8612593,-43.2758573
-22.9645712,-43.1897517
-22.8480736,-43.2788365
-22.8713139,-43.4870391
-22.8343217,-43.2914454
-22.8649615,-43.261191
-22.943393,-43.241729
-22.8648423,-43.4771013
-22.8604006,-43.4884116
-22.801649,-43.190072
-22.8624406,-43.2747796
-22.846732,-43.275743
-22.8624406,-43.2747796
-22.8604006,-43.4884116
-22.845836,-43.279567
-22.9080243,-43.2326915
-22.9103589,-43.4179354
-22.876026,-43.305513
-22.8238795,-43.3981236
-22.9481688,-43.3626721
-22.8608162,-43.274195
-22.9027276,-43.2486912
-22.9903762,-43.5953505
-22.8622148,-43.2743017
-22.9079866,-43.2660959
-22.913075,-43.253479
-22.8912574,-43.2225078
-22.9259539,-43.2487131
-22.9938906,-43.2361445
-22.8313558,-43.302223
-22.9879841,-43.2479825
-22.8974099,-43.5648725
-22.948089,-43.362571
-22.9055654,-43.2342007
-22.908273,-43.421047
