latitude_ocorrencia,longitude_ocorrencia
-228.363.922,-43.259.489
-229.130.396,-436.837.951
-22.916.975,-43.342.545
-229.228.688,-433.463.804
-22.951.838,-433.546
-228.820.321,-432.496.748
-228.681.944,-43.326.587
-22.951.838,-433.546
-228.820.321,-432.496.748
-229.432.909,-433.612.752
-228.763.889,-433.033.333
-229.481.688,-433.626.721
-22.903.701,-433.455.356
-228.820.321,-432.496.748
-228.316.564,-433.793.766
-228.234.722,-433.586.001
-22.912.631,-43.294.351
-22.903.701,-433.455.356
-228.137.192,-433.767.452
-22.819.917,-433.654.129
-228.954.241,-433.494.644
-228.461.779,-432.795.599
-22.980.727,-43.194.587
-229.125.538,-433.564.101
-229.389.867,-431.808.165
-22.816.245,-433.007.705
-229.002.778,-431.952.778
-228.163.486,-433.796.678
-228.371.687,-433.548.751
-228.988.889,-433.219.444
-22.939.393,-432.518.891
-229.011.309,-433.600.279
-229.389.097,-432.526.614
-228.654.866,-432.619.815
-228.217.987,-433.986.245
-228.508.302,-433.856.228
-229.032.238,-433.561.907
-22.951.838,-433.546
-22.811.487,-433.207.177
-228.662.065,-432.723.801
-229.481.688,-433.626.721
-22.948.215,-43.365.327
-22.878.864,-434.914.498
-229.424.053,-433.621.426
-22.889.874,-434.824.518
-229.442.116,-433.678.663
-229.481.688,-433.626.721
-228.864.743,-434.864.356
-228.650.795,-432.738.113
-228.313.558,-43.302.223
-229.442.262,-433.678.585
-22.948.695,-43.361.348
-229.078.627,-43.265.928.099.999.900
-228.916.605,-434.206.169
-228.604.006,-434.884.116
-228.453.344,-433.558.285
-229.166.392,-433.570.275
-228.472.161,-432.754.407
-228.194.873,-43.378.731
-229.052.507,-432.340.127
-229.641.669,-431.898.623
-229.645.712,-431.897.517
-228.563.671,-434.898.556
-228.673.416,-43.479.295
-22.823.506,-432.751.294
-229.192.881,-431.905.117
-229.645.712,-431.897.517
-228.604.006,-434.884.116
-228.620.054,-434.901.391
-2.291.364,-43.356.521
-229.481.688,-433.626.721
-228.648.423,-434.771.013
-22.903.701,-433.455.356
-228.634.421,-432.780.966
-228.599.396,-433.228.649
-228.923.941,-434.177.244
-228.593.331,-43.275.475.900.000.000
-229.481.688,-433.626.721
-229.149.256,-43.348.209
-228.792.069,-432.155.524
-22.951.587,-43.356.041
-229.481.688,-433.626.721
-228.208.745,-433.831.147
-229.645.712,-431.897.517
-229.641.669,-431.898.623
-229.038.403,-433.530.106
-229.187.728,-431.984.836
-22.903.701,-433.455.356
-228.136.986,-433.765.478
-228.725.334,-433.363.639
-229.187.728,-431.984.836
-229.187.728,-431.984.836
-228.742.263,-434.685.442
-228.603.816,-43.488.433
-229.149.118,-433.479.471
-229.089.149,-432.563.622
-229.089.901,-432.562.784
-229.133.907,-433.563.701
-228.250.395,-433.494.536
-229.002.778,-431.952.778
-22.879.127,-43.305.454
-22.879.617,-43.304.843
-22.879.617,-43.304.843
-229.149.256,-43.348.209
-228.604.006,-434.884.116
-22.874.402,-435.138.027
-229.252.336,-432.053.404
-228.604.006,-434.884.116
-22.925.017,-43.216.439
-22.947.321,-431.943.601
-229.078.627,-43.265.928.099.999.900
-228.612.593,-432.758.573
-229.481.688,-433.626.721
-228.148.203,-432.302.931
-229.202.268,-431.966.092
-22.903.701,-433.455.356
-228.348.419,-43.383.496
-22.925.621,-43.216.849
-228.493.439,-433.402.104
-228.677.888,-434.248.795
-228.902.529,-434.529.337
-228.654.866,-432.619.815
-229.149.118,-433.479.471
-229.473.222,-431.952.837
-229.047.379,-4.335.523
-229.047.379,-4.335.523
-22.913.155,-43.356.179
-228.472.161,-432.754.407
-228.208.745,-433.831.147
-228.185.529,-432.936.949
-229.254.408,-432.152.309
-228.604.006,-434.884.116
-229.536.329,-43.189.674.600.000.000
-228.499.538,-433.046.417
-228.469.239,-432.969.005
-228.593.331,-43.275.475.900.000.000
-229.089.651,-432.563.063
-228.639.186,-432.476.439
-22.872.736,-43.419.491
-229.473.222,-431.952.837
-228.675.722,-433.252.865
-228.936.111,-433.163.889
-22.916.975,-43.342.545
-228.700.287,-434.775.467
-228.200.131,-433.459.522
-228.700.695,-432.626.042
-228.656.361,-432.827.955
-228.620.054,-434.901.391
-228.600.881,-434.863.223
-228.703.855,-434.798.073
-228.740.996,-434.787.222
-229.356.777,-432.033.453
-22.845.706,-43.280.248
-229.347.222,-432.047.222
-22.870.513,-43.479.938
-22.816.245,-433.007.705
-22.816.245,-433.007.705
-22.903.701,-433.455.356
-22.845.706,-43.280.248
-22.851.121,-43.247.006
-22.846.732,-43.275.743
-229.901.306,-432.331.844
-228.763.107,-434.302.937
-22.928.655,-436.643.448
-228.613.329,-4.348.742
-228.763.107,-434.302.937
-228.969.198,-433.516.802
-228.401.095,-433.780.741
-22.903.701,-433.455.356
-228.472.161,-432.754.407
-228.400.672,-433.203.909
-22.905.076,-43.354.814
-228.868.567,-433.412.253
-228.073.899,-433.217.608
-228.488.858,-433.214.289
-228.558.216,-43.315.785
-22.811.487,-433.207.177
-22.862.115,-43.490.855
-228.613.889,-434.211.111
-228.588.459,-434.892.169
-229.230.494,-433.739.788
-228.489.448,-432.815.481
-228.650.001,-43.293.624.199.999.900
-229.252.336,-432.053.404
-228.926.246,-432.397.455
-229.230.494,-433.739.788
-228.614.271,-434.952.227
-229.008.761,-433.623.022
-228.362.719,-43.381.828
-228.759.836,-433.024.082
-227.946.849,-432.086.681
-228.469.239,-432.969.005
-228.654.866,-432.619.815
-228.388.125,-432.950.253
-22.923.314,-431.795.422
-22.878.864,-434.914.498
-229.481.688,-433.626.721
-2.292.669,-432.345.437
-228.209.547,-433.831.538
-228.856.237,-433.481.044
-228.948.757,-433.630.633
-228.351.531,-43.320.471
-228.626.395,-432.539.991
-228.401.095,-433.780.741
-229.160.314,-432.123.756
-22.958.323,-433.517.018
-228.761.113,-432.746.546
-228.885.835,-434.778.848
-22.877.127,-433.021.914
-229.879.841,-432.479.825
-22.91,-432.575
-229.136.977,-431.787.502
-228.277.965,-433.107.252
-229.641.669,-431.898.623
-229.295.263,-432.262.719
-229.879.841,-432.479.825
-228.391.092,-433.111.591
-228.796.092,-432.542.528
-229.032.639,-43.270.266
-229.046.925,-43.357.058
-228.255.312,-4.334.446
-228.331.178,-433.022.257
-229.102.021,-432.122.385
-228.662.669,-433.318.801
-229.036.286,-433.538.941
-229.034.756,-433.538.595
-228.756.024,-43.320.568
-228.520.103,-433.468.065
-228.763.889,-433.033.333
-229.893.864,-432.457.753
-228.211.375,-432.857.664
-229.210.814,-431.950.505
-229.038.065,-433.533.139
-229.180.113,-433.610.277
-228.604.006,-434.884.116
-22.907.639,-43.265.585
-229.707.659,-433.886.141
-229.152.533,-434.208.262
-229.047.379,-4.335.523
-228.624.406,-432.747.796
-229.047.379,-4.335.523
-228.208.708,-43.383.113
-228.429.787,-432.938.186
-229.047.379,-4.335.523
-229.435.434,-432.412.996
-22.916.425,-43.344.518
-22.902.384,-43.316.809
-229.435.434,-432.412.996
-228.791.502,-433.215.139
-228.830.377,-432.457.507
-229.481.688,-433.626.721
-228.613.778,-43.495.223
-228.722.222,-432.913.889
-228.593.331,-43.275.475.900.000.000
-228.613.778,-43.495.223
-229.151.971,-434.210.123
-229.821.838,-432.154.334
-228.654.866,-432.619.815
-228.968.333,-434.877.927
-228.621.542,-433.330.401
-228.094.553,-433.089.519
-228.564.826,-433.849.845
-228.820.321,-432.496.748
-229.355.139,-435.573.113
-229.230.494,-433.739.788
-22.829.247,-43.358.098
-22.925.686,-43.215.549
-228.472.161,-432.754.407
-230.222.784,-434.466.191
-228.604.006,-434.884.116
-228.966.753,-43.245.079
-228.208.745,-433.831.147
-228.820.321,-432.496.748
-22.820.816,-4.338.332
-228.812.047,-433.753.841
-22.985.435,-432.228.685
-22.926.216,-43.196.518
-229.254.511,-432.197.055
-22.924.384,-432.119.978
-228.208.745,-433.831.147
-228.166.407,-433.796.493
-228.654.866,-432.619.815
-229.012.039,-432.495.281
-228.830.377,-432.457.507
-22.925.686,-43.215.549
-22.825.523,-43.374.794
-228.820.321,-432.496.748
-229.226.205,-431.915.722
-229.277.778,-432.483.333
-229.632.188,-431.904.874
-228.814.998,-432.603.494
-228.484.493,-432.770.202
-228.776.307,-43.336.963
-22.948.371,-43.193.533
-228.678.642,-432.974.787
-228.773.389,-433.021.275
-228.561.214,-434.929.487
-228.604.006,-434.884.116
-228.820.321,-432.496.748
-229.267.401,-433.485.722
-2.284.695,-43.250.619
-229.110.577,-432.564.735
-228.830.377,-432.457.507
-229.002.778,-431.952.778
-228.693.297,-434.161.578
-228.255.312,-4.334.446
-228.472.161,-432.754.407
-228.431.474,-432.703.791
-228.627.778,-433.152.778
-2.290.649,-43.357.162
-22.91,-432.575
-229.605.752,-43.168.836.400.000.000
-229.265.909,-43.196.254
-228.377.077,-433.735.461
-229.313.564,-433.621.042
-228.247.001,-433.965.411
-228.890.867,-434.500.962
-229.052.507,-432.340.127
-229.073.529,-435.531.132
-228.166.407,-433.796.493
-228.725.334,-433.363.639
-229.283.017,-433.738.575
-22.930.939,-4.337.459
-228.314.576,-433.476.067
-228.662.065,-432.723.801
-229.481.688,-433.626.721
-229.048.084,-433.550.791
-229.435.434,-432.412.996
-228.759.836,-433.024.082
-229.048.871,-43.354.328.100.000.000
-228.604.006,-434.884.116
-229.048.084,-433.550.791
-228.494.364,-43.381.941
-229.110.577,-432.564.735
-229.048.084,-433.550.791
-228.593.331,-43.275.475.900.000.000
-229.395.041,-432.515.359
-22.904.184,-43.240.213
-229.052.507,-432.340.127
-228.986.468,-433.523.871
-228.472.161,-432.754.407
-228.581.095,-434.875.308
-228.863.349,-433.219.651
-228.506.112,-433.777.757
-229.078.116,-433.572.112
-230.019.203,-436.382.914
-228.522.342,-433.829.303
-229.029.846,-433.554.123
-228.759.836,-433.024.082
-228.391.092,-433.111.591
-229.047.379,-4.335.523
-229.481.688,-433.626.721
-228.818.886,-435.770.437
-229.196.001,-432.855.347
-228.881.418,-432.755.334
-229.052.507,-432.340.127
-228.618.693,-433.229.566
-22.864.264,-43.337.016
-22.864.393,-43.337.153
-229.048.084,-433.550.791
-228.627.778,-433.152.778
-229.048.084,-433.550.791
-22.903.701,-433.455.356
-228.401.095,-433.780.741
-22.863.546,-43.336.362
-22.903.701,-433.455.356
-228.897.769,-43.344.637
-229.133.505,-434.156.585
-228.453.344,-433.558.285
-22.903.701,-433.455.356
-228.284.063,-433.713.024
-228.184.513,-433.030.143
-22.913.048,-43.356.161
-228.780.979,-434.483.194
-22.863.262,-43.334.998
-228.999.702,-431.946.941
-228.633.029,-43.334.745
-229.537.359,-433.829.807
-229.002.778,-431.952.778
-228.728.368,-432.409.215
-22.864.264,-43.337.016
-229.047.379,-4.335.523
-228.675.722,-433.252.865
-228.759.836,-433.024.082
-229.047.379,-4.335.523
-229.076.238,-43.354.805
-228.317.027,-433.799.687
-228.317.027,-433.799.687
-229.072.608,-433.548.937
-229.078.627,-43.265.928.099.999.900
-228.603.523,-434.886.467
-228.604.006,-434.884.116
-22.903.701,-433.455.356
-22.903.701,-433.455.356
-229.157.052,-433.866.752
-229.076.238,-43.354.805
-22.900.806,-43.362.384
-229.149.118,-433.479.471
-229.060.649,-433.546.168
-228.600.128,-43.315.981
-229.082.992,-433.553.134
-229.044.103,-43.354.867
-228.344.715,-433.855.883
-228.379.762,-433.572.785
-228.562.422,-43.492.571
-228.169.799,-432.957.142
-229.389.867,-431.808.165
-228.614.271,-434.952.227
-228.638.976,-433.365.612
-228.638.976,-433.365.612
-228.662.498,-433.275.184
-228.472.161,-432.754.407
-228.764.752,-432.323.067
-22.990.566,-432.315.891
-228.875.863,-436.553.031
-229.102.135,-433.868.302
-228.389.771,-43.361.185
-228.683.062,-433.044.361
-228.643.832,-433.372.362
-228.851.976,-432.353.599
-229.133.505,-434.156.585
-228.880.184,-432.360.617
-22.861.923,-43.333.259
-229.110.577,-432.564.735
-228.543.619,-4.334.086
-2.287.894,-43.253.636
-228.673.416,-43.479.295
-228.395.895,-432.964.617
-228.472.161,-432.754.407
-22.902.377,-433.552.729
-229.395.041,-432.515.359
-22.829.621,-43.346.249
-229.090.026,-432.562.644
-22.825.821,-43.375.392
-229.044.214,-433.442.039
-229.088.904,-433.562.161
-22.864.483,-43.337.248
-228.712.413,-434.879.546
-228.636.154,-433.357.482
-228.988.889,-433.219.444
-228.718.816,-434.520.566
-229.038.088,-433.173.433
-228.604.671,-435.145.623
-228.725.334,-433.363.639
-229.190.938,-432.661.663
-22.861.923,-43.333.259
-228.604.006,-434.884.116
-228.593.331,-43.275.475.900.000.000
-228.725.334,-433.363.639
-228.675.722,-433.252.865
-228.543.619,-4.334.086
-228.675.722,-433.252.865
-22.911.044,-43.262.274
-22.810.449,-433.345.248
-228.701.843,-432.508.806
-228.429.787,-432.938.186
-229.048.084,-433.550.791
-228.575.566,-432.432.209
-228.104.453,-431.847.149
-22.810.424,-431.843.717
-228.472.362,-432.500.419
-229.078.627,-43.265.928.099.999.900
-228.166.575,-433.751.646
-228.924.682,-43.418.885
-22.911.044,-43.262.274
-228.250.945,-43.386.319
-228.726.426,-432.934.684
-228.709.633,-434.426.703
-228.638.976,-433.365.612
-228.709.633,-434.426.703
-228.542.705,-433.402.077
-228.709.633,-434.426.703
-22.887.329,-432.525.851
-228.246.493,-433.727.275
-229.836.579,-43.196.153
-229.145.614,-43.223.931
-229.481.688,-433.626.721
-229.534.881,-433.633.412
-228.561.214,-434.929.487
-228.205.029,-433.200.577
-228.703.855,-434.798.073
-229.645.712,-431.897.517
-228.614.271,-434.952.227
-229.107.985,-431.924.115
-228.619.535,-433.332.002
-22.948.125,-431.940.834
-228.709.633,-434.426.703
-22.863.617,-432.791.188
-229.606.389,-431.665.395
-22.850.536,-43.379.337
-22.838.459,-43.344.702
-228.399.732,-433.102.432
-22.889.874,-434.824.518
-228.648.423,-434.771.013
-228.166.575,-433.751.646
-22.823.881,-4.327.475
-228.622.983,-434.914.814
-22.845.581,-4.328.027
-22.889.049,-432.305.197
-22.861.923,-43.333.259
-229.653.476,-431.773.404
-228.487.441,-432.828.813
-228.484.853,-432.830.598
-22.877.436.199.999.900,-432.534.948
-229.313.564,-433.621.042
-228.134.126,-43.376.722
-228.439.764,-433.618.737
-229.133.505,-434.156.585
-228.311.384,-433.506.033
-229.196.001,-432.855.347
-228.820.321,-432.496.748
-228.248.598,-433.389.906
-228.619.565,-433.254.585
-228.675.722,-433.252.865
-229.110.577,-432.564.735
-229.145.803,-432.822.719
-22.831.203,-43.379.526
-228.418.111,-432.814.978
-229.191.206,-431.907.328
-228.313.558,-43.302.223
-228.604.006,-434.884.116
-228.763.889,-433.033.333
-229.742.852,-433.330.872
-228.588.459,-434.892.169
-2.283.386,-433.837.151
-22.840.607,-433.608
-228.593.331,-43.275.475.900.000.000
-228.427.263,-433.730.742
-22.951.838,-433.546
-229.388.786,-43.255.823
-228.650.532,-432.940.226
-229.096.038,-432.698.886
-228.928.103,-434.285.086
-22.893.169,-43.428.917
-228.604.006,-434.884.116
-22.937.012,-432.569.973
-229.641.669,-431.898.623
-228.758.346,-434.097.756
-229.052.507,-432.340.127
-22.848.071,-43.360.221
-229.130.741,-432.659.034
-228.364.424,-433.585.458
-228.215.809,-43.412.031
-228.235.797,-433.582.608
-228.695.107,-434.558.134
-22.907.639,-43.265.585
-228.975.334,-432.313.023
-228.530.359,-433.202.358
-228.659.611,-434.650.851
-228.875.573,-432.581.953
-228.971.265,-435.416.683
-228.627.778,-433.152.778
-228.604.006,-434.884.116
-228.634.421,-432.780.966
-228.600.881,-434.863.223
-228.938.868,-433.213.901
-228.634.421,-432.780.966
-228.136.986,-433.765.478
-228.927.858,-434.187.216
-228.927.858,-434.187.216
-229.949.634,-43.237.307
-228.365.265,-433.965.384
-229.939.022,-432.358.343
-228.574.971,-432.430.137
-229.002.778,-431.952.778
-22.846.559,-43.284.962
-229.169.605,-434.013.271
-228.612.593,-432.758.573
-230.111.343,-433.320.207
-228.761.113,-432.746.546
-228.604.006,-434.884.116
-229.227.979,-433.549.637
-229.230.494,-433.739.788
-22.840.607,-433.608
-22.840.219,-433.446.847
-229.196.001,-432.855.347
-228.148.502,-433.040.586
-228.742.263,-434.685.442
-229.274.185,-432.174.849
-22.951.932,-43.356.166
-228.720.843,-434.796.267
-229.481.688,-433.626.721
-229.438.651,-432.413.015
-228.789.777,-432.155.785
-22.857.229,-433.527.636
-229.196.001,-432.855.347
-229.139.074,-432.833.747
-22.856.814,-4.349.791
-228.694.071,-434.790.849
-229.097.965,-431.864.999
-228.427.442,-433.415.354
-22.860.855,-43.244.405
-229.918.352,-432.472.354
-229.375.309,-432.568.825
-229.128.703,-432.845.545
-228.822.363,-433.245.974
-229.481.688,-433.626.721
-228.575.566,-432.432.209
-228.908.797,-435.336.475
-22.949.212,-43.360.861
-229.240.186,-431.772.566
-228.635.538,-432.791.674
-229.442.262,-433.678.585
-2.281.086,-433.122.584
-229.600.991,-432.080.254
-229.897.576,-43.252.715
-228.604.006,-434.884.116
-22.805.264,-43.338.821
-229.815.689,-432.169.748
-228.658.549,-432.764.278
-228.806.896,-432.703.547
-229.522.924,-433.613.131
-228.709.633,-434.426.703
-228.627.778,-433.152.778
-229.707.112,-431.864.433
-228.523.949,-434.963.917
-229.110.577,-432.564.735
-22.943.603,-43.241.073
-22.904.184,-43.240.213
-229.435.434,-432.412.996
-228.729.313,-432.404.233
-228.231.076,-433.580.185
-228.472.161,-432.754.407
-22.909.371,-43.297.911
-228.725.957,-433.136
-229.487.017,-43.368.887
-229.441.667,-432.408.333
-229.238.072,-431.816.027
-229.375.309,-432.568.825
-22.865.184,-43.256.354
-228.220.706,-433.672.684
-229.481.688,-433.626.721
-228.548.293,-434.908.951
-229.295.263,-432.262.719
-228.166.575,-433.751.646
-22.831.203,-43.379.526
-228.558.185,-434.899.041
-229.606.091,-431.695.241
-22.831.203,-43.379.526
-2.286.226,-43.491.764
-228.241.667,-43.364.444.399.999.900
-228.604.006,-434.884.116
-228.659.512,-432.724.853
-228.621.175,-432.746.707
-228.317.842,-433.786.129
-228.603.985,-432.821.082
-228.603.985,-432.821.082
-228.603.985,-432.821.082
-228.662.786,-434.536.384
-228.620.038,-432.744.675
-228.624.341,-432.748.755
-22.876.859,-43.496.378
-228.649.819,-432.777.703
-228.627.778,-433.152.778
-22.964.521,-431.798.658
-229.114.384,-432.430.137
-229.062.445,-43.236.919
-228.166.959,-433.750.987
-228.926.246,-432.397.455
-228.887.168,-432.290.004
-228.604.006,-434.884.116
-228.593.331,-43.275.475.900.000.000
-22.864.444,-43.328.136
-228.164.309,-433.752.905
-229.375.309,-432.568.825
-229.438.651,-432.413.015
-228.224.646,-433.851.224
-228.429.787,-432.938.186
-228.604.006,-434.884.116
-229.939.022,-432.358.343
-229.481.688,-433.626.721
-228.588.459,-434.892.169
-229.196.001,-432.855.347
-228.954.077,-434.780.422
-228.615.397,-432.741.434
-229.441.667,-432.408.333
-228.718.726,-4.345.419
-22.892.074,-432.399.571
-22.825.612,-433.223.656
-228.923.272,-432.581.953
-228.819.411,-434.150.143
-229.395.041,-432.515.359
-228.401.095,-433.780.741
-229.395.041,-432.515.359
-228.763.889,-433.033.333
-228.600.881,-434.863.223
-228.230.742,-433.861.426
-228.469.239,-432.969.005
-229.385.731,-432.519.803
-22.831.203,-43.379.526
-22.873.115,-43.491.839
-229.384.852,-432.516.233
-22.859.784,-434.888.509
-22.872.688,-43.418.691
-228.675.384,-432.552.477
-228.626.395,-432.539.991
-229.086.611,-43.314.744
-228.675.722,-433.252.865
-229.832.192,-431.919.477
-22.876.013,-43.305.582
-22.907.614,-43.265.112
-228.555.403,-434.895.957
-228.786.524,-434.285.172
-228.429.787,-432.938.186
-229.168.574,-431.758.537
-228.429.787,-432.938.186
-228.721.522,-434.436.913
-22.838.642,-43.285.516
-228.237.172,-433.317.028
-228.311.384,-433.506.033
-229.095.238,-432.554.717
-229.395.041,-432.515.359
-228.094.553,-433.089.519
-228.899.874,-432.736.259
-229.084.965,-433.682.336
-229.880.005,-432.479.212
-229.068.423,-431.781.471
-228.541.895,-433.518.831
-228.600.881,-434.863.223
-228.763.889,-433.033.333
-228.563.684,-434.898.289
-2.282.304,-433.279.105
-228.627.778,-433.152.778
-229.196.001,-432.855.347
-229.465.479,-433.697.197
-228.604.006,-434.884.116
-228.758.824,-432.380.737
-228.825.916,-432.492.432
-228.936.111,-433.163.889
-22.870.248,-43.241.696
-228.780.979,-434.483.194
-229.879.841,-432.479.825
-229.895.272,-432.321.185
-228.858.122,-433.436.234
-2.286.674,-43.457.294
-229.465.479,-433.697.197
-22.863.389,-434.105.671
-229.465.479,-433.697.197
-229.079.866,-432.660.959
-229.052.507,-432.340.127
-228.593.331,-43.275.475.900.000.000
-22.949.834,-4.336.631
-22.871.457,-43.292.699.999.999.900
-228.593.381,-432.756.731
-229.052.222,-432.348.218
-228.676.477,-434.161.608
-228.298.757,-432.969.715
-22.819.362,-43.366.922
-228.636.746,-432.553.804
-229.204.353,-431.804.722
-229.248.003,-432.117.179
-228.822.363,-433.245.974
-228.387.811,-434.055.911
-228.923.272,-432.581.953
-22.869.939,-433.311.149
-22.907.639,-43.265.585
-228.472.161,-432.754.407
-228.590.689,-432.754.178
-228.543.104,-43.241.442
-228.836.319,-434.227.682
-229.075.949,-432.773.157
-228.694.071,-434.790.849
-229.062.445,-43.236.919
-229.062.445,-43.236.919
-229.465.479,-433.697.197
-229.939.022,-432.358.343
-229.081.911,-432.359.934
-228.627.817,-4.326.803
-229.196.001,-432.855.347
-22.893.564,-43.462.515
-22.823.181,-433.594.717
-228.626.395,-432.539.991
-228.694.071,-434.790.849
-230.359.526,-434.699.195
-228.664.009,-434.705.471
-228.622.553,-432.706.836
-229.078.627,-43.265.928.099.999.900
-229.395.041,-432.515.359
-228.604.006,-434.884.116
-229.027.463,-432.684.052
-228.603.985,-432.821.082
-229.554.378,-433.497.223
-229.078.627,-43.265.928.099.999.900
-229.288.836,-433.542.305
-228.604.006,-434.884.116
-228.856.237,-433.481.044
-228.626.395,-432.539.991
-228.677.888,-434.248.795
-229.136.108,-432.584.029
-228.524.903,-433.424.532
-228.428.941,-433.355.731
-228.148.203,-432.302.931
-228.763.889,-433.033.333
-229.939.022,-432.358.343
-228.560.331,-43.247.069
-229.930.206,-432.377.441
-228.429.787,-432.938.186
-228.552.714,-43.242.187.799.999.900
-228.436.111,-432.936.111
-228.604.006,-434.884.116
-228.436.111,-432.936.111
-229.395.041,-432.515.359
-228.882.898,-432.492.801
-228.604.006,-434.884.116
-228.830.377,-432.457.507
-229.441.667,-432.408.333
-228.162.555,-433.584.955
-22.847.331,-432.754
-229.853.639,-432.040.798
-229.708.637,-432.069.645
-22.863.406,-432.873.784
-228.614.979,-432.786.079
-228.472.161,-432.754.407
-228.603.985,-432.821.082
-228.690.279,-432.428.065
-229.150.854,-433.352.507
-229.052.507,-432.340.127
-229.052.507,-432.340.127
-229.441.667,-432.408.333
-228.469.239,-432.969.005
-229.370.686,-432.491.277
-228.654.249,-432.958.533
-228.184.513,-433.030.143
-228.626.186,-432.959.604
-228.939.906,-432.268.566
-229.939.022,-432.358.343
-228.965.991,-433.509.066
-228.671.654,-432.784.828
-22.926.929,-43.216.713
-229.882.617,-432.498.996
-228.035.488,-433.304.942
-229.078.627,-43.265.928.099.999.900
-228.728.883,-435.007.329
-228.694.071,-434.790.849
-229.615.018,-431.662.396
-228.694.071,-434.790.849
-228.760.677,-434.871.617
-22.873.115,-43.491.839
-22.959.311,-43.170.479
-229.156.722,-43.279.139
-228.226.838,-432.734.614
-229.435.434,-432.412.996
-228.892.878,-432.351.465
-228.153.223,-43.360.173
-228.439.764,-433.618.737
-228.354.869,-433.732.052
-229.167.049,-43.204.647
-228.438.243,-433.564.595
-228.305.648,-433.015.643
-228.830.377,-432.457.507
-228.184.513,-433.030.143
-229.265.111,-431.964.401
-229.265.111,-431.964.401
-228.255.312,-4.334.446
-229.554.378,-433.497.223
-229.325.728,-432.410.248
-228.472.161,-432.754.407
-229.473.031,-433.594.905
-228.138.229,-433.399.487
-228.614.271,-434.952.227
-228.887.198,-432.436.959
-229.332.232,-43.181.432
-22.854.415,-43.493.305
-228.654.866,-432.619.815
-228.341.614,-433.911.252
-22.923.959,-432.098.332
-228.122.261,-433.619.715
-228.382.119,-433.659.642
-228.865.213,-433.506.083
-228.464.802,-43.296.917
-229.395.041,-432.515.359
-22.915.146,-432.206.027
-228.469.239,-432.969.005
-229.879.841,-432.479.825
-228.548.166,-433.749.291
-22.876.346,-43.301.896
-22.869.508,-43.475.693
-228.759.836,-433.024.082
-228.759.836,-433.024.082
-22.852.281,-43.379.407
-228.604.006,-434.884.116
-228.488.651,-433.717.222
-229.265.111,-431.964.401
-228.990.511,-432.785.299
-228.604.006,-434.884.116
-229.393.905,-432.515.274
-228.466.712,-432.759.381
-228.795.382,-43.489.301
-229.880.005,-432.479.212
-22.823.181,-433.594.717
-228.822.523,-432.262.139
-228.654.866,-432.619.815
-228.561.214,-434.929.487
-228.691.074,-432.377.013
-228.976.187,-432.612.322
-229.269.569,-432.173.886
-228.604.006,-434.884.116
-229.645.712,-431.897.517
-228.388.125,-432.950.253
-228.408.542,-43.294.503
-228.795.382,-43.489.301
-228.593.331,-43.275.475.900.000.000
-228.595.673,-434.917.482
-228.217.987,-433.986.245
-229.608.214,-431.688.438
-228.578.104,-432.431.225
-228.966.753,-43.245.079
-22.860.562,-434.884.837
-22.846.976,-43.297.453
-228.875.863,-436.553.031
-229.645.712,-431.897.517
-229.487.017,-43.368.887
-228.166.575,-433.751.646
-229.465.479,-433.697.197
-229.487.017,-43.368.887
-229.441.667,-432.408.333
-228.200.109,-432.947.043
-22.869.508,-43.475.693
-22.913.986,-43.284.782
-229.385.902,-432.525.441
-228.814.992,-432.676.233
-229.481.372,-433.654.156
-229.315.441,-433.622.651
-228.466.982,-43.238.126
-22.917.103,-432.060.102
-2.284.706,-43.285.919
-228.742.263,-434.685.442
-228.604.006,-434.884.116
-228.486.136,-432.833.385
-228.475.507,-432.893.022
-228.488.289,-432.822.927
-228.612.667,-433.183.993
-229.121.092,-432.788.148
-228.954.241,-433.494.644
-228.811.734,-433.705.487
-228.707.343,-433.359.627
-228.934.181,-434.791.024
-228.742.263,-434.685.442
-228.742.263,-434.685.442
-229.397.231,-43.256.402.800.000.000
-228.242.226,-43.364.504
-228.725.957,-433.136
-22.867.538,-43.327.339
-228.016.049,-431.903.081
-22.869.594,-43.475.696
-22.889.752,-43.464.619
-229.222.022,-431.797.866
-22.879.372,-43.216.816
-228.080.985,-433.183.281
-228.439.001,-433.131.832
-228.622.983,-434.914.814
-228.600.881,-434.863.223
-228.550.195,-434.971.339
-229.395.041,-432.515.359
-228.391.092,-433.111.591
-228.750.681,-434.474.447
-228.604.006,-434.884.116
-229.165.994,-432.501.796
-228.622.983,-434.914.814
-228.694.071,-434.790.849
-229.088.519,-432.564.317
-228.808.317,-432.968.554
-228.604.006,-434.884.116
-229.176.477,-432.204.613
-229.029.872,-437.180.536
-228.694.071,-434.790.849
-229.441.667,-432.408.333
-228.627.817,-4.326.803
-228.786.524,-434.285.172
-229.879.841,-432.479.825
-228.799.105,-432.263.825
-229.939.022,-432.358.343
-228.240.137,-433.642.564
-228.856.237,-433.481.044
-228.604.006,-434.884.116
-22.926.929,-43.216.713
-228.604.006,-434.884.116
-228.604.006,-434.884.116
-228.694.071,-434.790.849
-229.879.841,-432.479.825
-228.212.984,-432.852.622
-229.052.507,-432.340.127
-228.675.722,-433.252.865
-228.074.108,-433.048.626
-22.823.181,-433.594.717
-229.647.774,-431.896.295
-229.298.821,-432.271.434
-228.125.532,-432.290.125
-229.269.569,-432.173.886
