latitude_ocorrencia,longitude_ocorrencia
-228.472.161,-432.754.407
-230.251.685,-435.010.216
-228.747.578,-435.016.806
-228.973.746,-432.606.318
-22.885.835,-433.412
-229.101.394,-434.189.771
-22.876.898,-433.091.834
-22.860.738,-43.274.173
-228.384.308,-433.624.341
-228.151.996,-432.907.006
-229.256.303,-435.174.536
-228.885.942,-432.490.533
-228.593.107,-432.754.362
-228.231.076,-433.580.185
-22.861.773,-43.489.724
-228.620.054,-434.901.391
-22.872.484,-43.500.802
-228.624.364,-432.405.429
-229.109.754,-432.778.186
-228.595.673,-434.917.482
-228.341.372,-432.914.188
-227.881.157,-431.746.112
-228.385.634,-43.265.314.000.000.000
-228.523.577,-432.779.976
-229.439.699,-433.626.771
-228.869.022,-433.521.866
-229.087.277,-432.001.289
-228.254.013,-433.450.251
-229.106.435,-432.167.674
-228.943.813,-433.209.793
-228.112.565,-43.288.198
-228.944.378,-433.208.834
-228.627.778,-433.152.778
-228.627.778,-433.152.778
-228.725.549,-43.500.788
-22.922.534,-432.168.969
-22.860.562,-434.884.837
-228.572.838,-434.922.899
-228.525.686,-434.938.286
-228.550.195,-434.971.339
-228.654.866,-432.619.815
-228.763.107,-434.302.937
-22.903.932,-43.316.935
-228.622.222,-432.405.556
-229.002.778,-431.952.778
-229.347.222,-432.047.222
-229.174.766,-432.048.028
-228.588.459,-434.892.169
-229.481.688,-433.626.721
-228.612.593,-432.758.573
-22.951.838,-433.546
-22.922.774,-431.915.463
-229.052.068,-433.072.301
-228.890.992,-432.221.316
-228.695.402,-43.309.951
-229.435.434,-432.412.996
-229.347.222,-432.047.222
-228.844.452,-436.227.298
-229.027.463,-432.684.052
-228.830.377,-432.457.507
-229.089.525,-432.563.203
-228.560.049,-433.195.822
-229.265.111,-431.964.401
-228.971.603,-431.919.327
-228.918.396,-434.274.271
-229.230.048,-431.918.142
-229.901.693,-432.523.822
-228.409.424,-433.689.872
-228.627.778,-433.152.778
-229.253.062,-43.219.771
-229.196.001,-432.855.347
-229.253.062,-43.219.771
-229.253.062,-43.219.771
-228.604.006,-434.884.116
-228.131.943,-433.796.282
-229.155.556,-432.902.778
-229.879.841,-432.479.825
-229.879.841,-432.479.825
-228.605.042,-435.234.381
-227.876.813,-431.806.226
-229.879.841,-432.479.825
-228.604.006,-434.884.116
-228.710.226,-433.164.152
-229.456.529,-433.849.221
-2.292.858,-43.664.143
-229.385.731,-432.519.803
-227.876.813,-431.806.226
-229.893.864,-432.457.753
-228.608.162,-43.274.195
-229.124.258,-432.973.151
-229.047.379,-4.335.523
-228.652.639,-432.939.754
-229.281.552,-432.130.433
-228.673.416,-43.479.295
-22.861.937,-43.490.283
-229.884.354,-432.487.183
-229.483.154,-431.943.621
-22.913.992,-433.597.298
-228.986.468,-433.523.871
-228.574.907,-43.329.357
-228.401.095,-433.780.741
-228.810.951,-432.901.233
-228.918.872,-433.478.334
-22.866.845,-43.479.984
-229.632.188,-431.904.874
-228.593.839,-432.763.866
-228.820.321,-432.496.748
-22.883.077,-43.252.006
-22.883.077,-43.252.006
-229.135.675,-432.556.792
-229.441.667,-432.408.333
-229.375.309,-432.568.825
-228.801.906,-432.269.849
-229.385.622,-432.521.052
-228.593.331,-43.275.475.900.000.000
-228.654.866,-432.619.815
-229.048.084,-433.550.791
-22.875.343,-433.043.756
-228.627.778,-433.152.778
-229.002.778,-431.952.778
-228.611.743,-432.734.499
-228.893.332,-432.297.856
-228.604.006,-434.884.116
